Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Cause),Custom field (Cause),Custom field (Cause),Custom field (Cause),Custom field (Cause),Custom field (Cause),Custom field (Cause),Custom field (Decision Rationale),Custom field (Decision Rationale),Custom field (Defect Source),Custom field (Defect Source),Custom field (Defect Source),Custom field (Defect Source),Custom field (Defect Source),Custom field (Defect Source),Custom field (Defect Source),Custom field (Deliverable Type),Custom field (Deliverable Type),Custom field (Deliverable Type),Custom field (Deliverable Type),Custom field (Deliverable Type),Custom field (Deliverable Type),Custom field (Deliverable Type),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Type),Custom field (Epic Type),Custom field (Epic Type),Custom field (Epic Type),Custom field (Epic Type),Custom field (Epic Type),Custom field (Epic Type),Custom field (External ID),Custom field (Original story points),Custom field (Other Participants),Custom field (Other Participants),Custom field (Parent Link),Custom field (Quality/Time),Custom field (Quality/Time),Custom field (Quality/Time),Custom field (Quality/Time),Custom field (Quality/Time),Custom field (Quality/Time),Custom field (Quality/Time),Custom field (Rank),Custom field (Rejection Rationale),Custom field (Rejection Rationale),Custom field (Rejection Rationale),Custom field (Rejection Rationale),Custom field (Rejection Rationale),Custom field (Rejection Rationale),Custom field (Rejection Rationale),Custom field (Release Notes),Custom field (Release Notes),Custom field (Release Notes),Custom field (Release Notes),Custom field (Release Notes),Custom field (Release Notes),Custom field (Release Notes),Custom field (Req ID/Test Case ID),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Target end),Custom field (Target start),Custom field (Team),Comment
Folder Deletion,MSE2324-518,10824,Bug,In Review,MSE2324,MSE23-24,software,ajimura,,,Highest,,ajimura,fmpereira,fmpereira,17/Apr/24 9:20 AM,23/Apr/24 10:03 PM,29/Apr/24 8:01 PM,,,,,,0,,"If the user chooses a specific combination of information that redirects to another folder with CDG's archives, those archives will be automatically deleted. This happens because the application deletes the folder every time it start a new process. This functionality is part of the legacy code.

Possible solutions:
- Force the initial folder to be called ""reports""
- Add date time on the package name",,fmpereira,,"MSE2324-517 solves this issue;23/Apr/24 10:03 PM;ajimura;3600",,,,7200,3600,3600,50%,7200,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-216,,,,,,,,,,,,,,,,,,,,,,"0|i0025f:i",,,,,,,,,,,,,,,,S13 EG / CDG Testing,,,,,,,,,,
Usage of special characters on output folder and package name inputs,MSE2324-517,10823,Bug,In Review,MSE2324,MSE23-24,software,ajimura,,,High,,ajimura,fmpereira,fmpereira,17/Apr/24 9:13 AM,23/Apr/24 10:03 PM,23/Apr/24 10:03 PM,,,,,,0,,"If a user insert forbidden characters for names in archives and folders, the application gives us a success message but does not generate anything.

Possible Solutions:
 * Do not let users type forbidden characters
 * Validate input ",,fmpereira,,";23/Apr/24 10:00 PM;ajimura;7200",,,,7200,0,7200,100%,7200,0,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-216,,,,,,,,,,,,,,,,,,,,,,"0|i0025f:",,,,,,,,,,,,,,,,S13 EG / CDG Testing,,,,,,,,,,
Adjustments for non-Windows Operating Systems,MSE2324-556,10862,Story,To Refine,MSE2324,MSE23-24,software,ajimura,,,Medium,,,ajimura,ajimura,29/Apr/24 7:08 PM,29/Apr/24 7:08 PM,29/Apr/24 7:08 PM,,,,,,0,,,,,,,,,,7200,7200,,0%,7200,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i00260:",,,,,,,,,,,,,,,,S13 EG / CDG Testing,,,,,,,,,,
V1.0 - EG - TR 44 - Save the .docx exported from IBM Doors,MSE2324-368,10586,Story,In Progress,MSE2324,MSE23-24,software,ajimura,,,Medium,,rubencorreia,joaoteixeira,joaoteixeira,17/Feb/24 8:33 PM,29/Apr/24 7:03 PM,29/Apr/24 8:02 PM,,,,,,0,,"Requirement Matrix for more detail:

https://docs.google.com/spreadsheets/d/1BmsJSffAmAZJoz9p6vN2BRtmiC3Lw_Hz3ZE6hmn3KUU/edit?usp=sharing",,joaoteixeira,,";29/Apr/24 7:03 PM;rubencorreia;7200",,,,28800,21600,7200,25%,28800,21600,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-218,,,,,,,,,,,,,,,,,,,,,,"0|i0025b:r",,,,,,,,,,,,,,,,S9 Run Legacy Code,S10 Run Legacy Code 2,S11 Run LegacyCode EG / CDG v2,S12 EG / CC Kickoff,S13 EG / CDG INFRA,S13 EG / CDG Testing,,,,,
V2.0 - CDG - Errors to be shown on the menu,MSE2324-435,10655,Story,In Progress,MSE2324,MSE23-24,software,ajimura,,,Medium,,gabrielnunes,joaoteixeira,joaoteixeira,21/Feb/24 3:46 PM,29/Apr/24 5:23 PM,20/Mar/24 8:36 PM,,,,,,0,,,,joaoteixeira,,,,,,7200,7200,,0%,7200,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-216,,,,,,,,,,,,,,,,,,,,,,"0|i0025f:w",,,,,,,,,,,,,,,,S13 EG / CDG Testing,,,,,,,,,,"20/Mar/24 8:38 PM;ajimura;Use pop ups;;;"
Workflow reaches and concludes Oxygen actions,MSE2324-529,10835,Story,In Progress,MSE2324,MSE23-24,software,ajimura,,,Medium,,jmsp,fmpereira,fmpereira,22/Apr/24 5:56 PM,26/Apr/24 6:58 PM,29/Apr/24 8:02 PM,,,,,,0,,,,fmpereira,,,,,,36000,36000,,0%,36000,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-218,,,,,,,,,,,,,,,,,,,,,,"0|i0025b:",,,,,,,,,,,,,,,,S13 EG / CDG Testing,,,,,,,,,,
Review Confluence Documentation and Artifacts,MSE2324-533,10839,Story,In Progress,MSE2324,MSE23-24,software,ajimura,,,Medium,,fmpereira,fmpereira,fmpereira,22/Apr/24 6:02 PM,26/Apr/24 4:46 PM,29/Apr/24 8:02 PM,,,,,,0,,,,fmpereira,,";24/Apr/24 6:59 PM;fmpereira;3600",";26/Apr/24 4:46 PM;fmpereira;3600",,,57600,50400,7200,12%,57600,50400,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-213,,,,,,,,,,,,joaoteixeira,,,,,,,,,,"0|i0025h:",,,,,,,,,,,,,,,,S13 EG / CDG Testing,,,,,,,,,,
V2.0 - CDG - Location of the report from the datapackage,MSE2324-444,10664,Story,In Review,MSE2324,MSE23-24,software,ajimura,,,Medium,,gabrielnunes,joaoteixeira,joaoteixeira,21/Feb/24 9:51 PM,23/Apr/24 10:17 PM,23/Apr/24 10:17 PM,,,,,,0,,,,fmpereira,joaoteixeira,";23/Apr/24 10:17 PM;ajimura;1800",,,,7200,5400,1800,25%,7200,5400,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-216,,,,,,,,,,,,,,,,,,,,,,"0|i0025f:r",,,,,,,,,,,,,,,,S13 EG / CDG Testing,,,,,,,,,,"06/Mar/24 8:46 PM;fmpereira;Improvement: Open folder once process is finished;;;"
Plan Compliance Checker Initial Sprint (Create tasks),MSE2324-527,10833,Story,To Refine,MSE2324,MSE23-24,software,ajimura,,,Medium,,joaoteixeira,fmpereira,fmpereira,17/Apr/24 7:45 PM,23/Apr/24 11:50 AM,29/Apr/24 8:02 PM,,,,,,0,,We should complete flow charts/ Mocks also,,fmpereira,,";23/Apr/24 11:50 AM;joaoteixeira;4200",,,,43200,39000,4200,9%,43200,39000,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-213,,,,,,,,,,,,fmpereira,,,,,,,,,,"0|i0025g:",,,,,,,,,,,,,,,,S13 EG / CDG Testing,,,,,,,,,,
Create Discord Bot,MSE2324-488,10711,Story,To Refine,MSE2324,MSE23-24,software,ajimura,,,Medium,,fmpereira,fmpereira,fmpereira,20/Mar/24 8:17 PM,22/Apr/24 7:29 PM,29/Apr/24 8:02 PM,,,,,,0,,,,fmpereira,,,,,,21600,21600,,0%,21600,21600,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-213,,,,,,,,,,,,,,,,,,,,,,"0|i0025g:i",,,,,,,,,,,,,,,,S12 EG / CC Kickoff,S13 EG / CDG INFRA,S13 EG / CDG Testing,,,,,,,,
V1.0 - EG - TR47 - Save .rtf requirements,MSE2324-362,10580,Story,In Progress,MSE2324,MSE23-24,software,ajimura,,,Medium,,dedsm,joaoteixeira,joaoteixeira,17/Feb/24 8:23 PM,22/Apr/24 7:27 PM,29/Apr/24 8:02 PM,,,,,,0,,"Requirement Matrix for more detail:

https://docs.google.com/spreadsheets/d/1BmsJSffAmAZJoz9p6vN2BRtmiC3Lw_Hz3ZE6hmn3KUU/edit?usp=sharing",,joaoteixeira,,";06/Mar/24 8:26 PM;dedsm;1800",";11/Mar/24 8:07 PM;dedsm;57600",";18/Mar/24 7:24 PM;dedsm;14400",";22/Apr/24 6:58 PM;dedsm;14400",28800,28800,88200,306%,28800,28800,88200,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-218,,,,,,,,,,,,,,,,,,,,,,"0|i0025b:i",,,,,,,,,,,,,,,,S9 Run Legacy Code,S10 Run Legacy Code 2,S11 Run LegacyCode EG / CDG v2,S12 EG / CC Kickoff,S13 EG / CDG INFRA,S13 EG / CDG Testing,,,,,
Review and Implement Jira Metrics,MSE2324-535,10841,Story,To Refine,MSE2324,MSE23-24,software,ajimura,,,Medium,,joaoteixeira,fmpereira,fmpereira,22/Apr/24 7:17 PM,22/Apr/24 7:19 PM,29/Apr/24 8:02 PM,,,,,,0,,,,fmpereira,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-213,,,,,,,,,,,,ajimura,fmpereira,,,,,,,,,"0|i0025x:",,,,,,,,,,,,,,,,S13 EG / CDG Testing,,,,,,,,,,
Check project features and write and execute quality assurance specs on the requirements table (V2),MSE2324-524,10830,Story,To Refine,MSE2324,MSE23-24,software,ajimura,,,Medium,,gabrielnunes,fmpereira,fmpereira,17/Apr/24 7:38 PM,22/Apr/24 7:12 PM,29/Apr/24 8:02 PM,,,,,,0,,,,fmpereira,,,,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-216,,,,,,,,,,,,ajimura,,,,,,,,,,"0|i0025e:",,,,,,,,,,,,,,,,S13 EG / CDG Testing,,,,,,,,,,
Check project features and write and execute quality assurance specs on the requirements table (V1),MSE2324-523,10829,Story,To Refine,MSE2324,MSE23-24,software,ajimura,,,Medium,,ajimura,fmpereira,fmpereira,17/Apr/24 7:37 PM,22/Apr/24 7:12 PM,29/Apr/24 8:02 PM,,,,,,0,,,,fmpereira,,,,,,57600,57600,,0%,57600,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSE2324-216,,,,,,,,,,,,gabrielnunes,,,,,,,,,,"0|i0025c:",,,,,,,,,,,,,,,,S13 EG / CDG Testing,,,,,,,,,,
